transaction_id,customer_id,category,subcategory,transaction_amount,login_hour,device,location,blink_rate,motion_score,spoof_probability,beneficiary_new,rooted_device,historical_risk,crime_context,risk_label,timestamp
T1486,C1123,Online and Social Media Related Crime,Cyber Bullying  Stalking  Sexting,6735.87,19,OnePlus12,Bangalore,13,0.26,0.06,1,0,38,I recieved an unknown nude video call from a number and i accidentely picked up later they screen recorded my photo and edited it and made me nude too in order to blackmail me Kindly take appropriate action aginst her and she is demanding money from ,low,2026-05-14 09:16:27.325136
T1487,C1198,Sexually Explicit Act,,28260.94,13,iPhone15,Chennai,18,0.37,0.04,0,0,36,Dear sir this all online loan fraud peoples from gujarat they hacked one of our friends mobile  months before now this people sending Blackmailing messages and vedios to all peoples its a loan recovering method but its illegal in india please control,low,2026-04-18 14:56:27.325136
T1488,C1082,Any Other Cyber Crime,Other,15279.72,1,Unknown_Device,Foreign,0,0.1,0.62,1,1,40,                                      clone                   ,high,2026-02-08 11:03:27.325136
T1489,C1013,Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,12335.88,15,OnePlus12,Kolkata,11,0.54,0.16,0,0,24,"Today afternoon received call from Anjali  TimesJOB  to arrange interview and told to register from website  wwtimesjobsregisterscom
Which is an fraudlent website which they debit amount thru Mobiwik System Pvt Ltd need you to block the above mentio",low,2026-05-16 16:05:27.325136
T1490,C1009,Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,33582.31,4,iPhone15,Chennai,18,0.44,0.13,1,0,4,Yesterday on th Jan  i was surfing on facebook where i saw discounted jackets Since i needed that i placed one order worth INR  After making payment i got a message on screen stating that you will receive order confirmation via email with order no Af,low,2026-05-16 16:46:27.325136
T1491,C1193,Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,6179.53,23,Samsung_S24,Delhi,13,0.44,0.12,0,0,3,I ordered  dress from online WhatsApp grpshe said me to pay on Google pay and give me Google pay number and Qr codeI pay  through Google pay number and she says my order receive within  to  days Steel i can not receive my order And she can not show a,low,2026-05-30 12:46:27.325136
T1492,C1004,Online and Social Media Related Crime,Cheating by Impersonation,24145.94,21,Samsung_S24,Mumbai,24,0.43,0.17,1,0,21,"Above online shopping site was displaying jackets and I ordered one jacket on nd January and paid Rs  but fid not got my delivery 
Today i felt that something is not right so i started checking about that site Nd foundl they have cheated with many p",low,2026-02-27 02:03:27.325136
T1493,C1072,Online Financial Fraud,UPI Related Frauds,57889.98,8,iPhone15,Bangalore,21,0.43,0.13,0,0,5,        Gharpeshikshacom website                  ,low,2026-05-29 20:46:27.325136
T1494,C1157,Online Financial Fraud,UPI Related Frauds,214934.5,3,Unknown_Device,Foreign,1,0.12,0.83,1,1,39,Online financial fraud ,high,2026-04-24 17:18:27.325136
T1495,C1198,Online Financial Fraud,UPI Related Frauds,22066.25,12,iPhone15,Chennai,18,0.27,0.05,0,0,36,Caller losted RS  by some Loan application to assuring him to get  loan amount and cheated the caller,low,2026-05-09 22:09:27.325136
T1496,C1036,Online Financial Fraud,UPI Related Frauds,386765.54,5,Emulator,Foreign,4,0.14,0.85,1,1,14,"Hayat Akram mohammad gayasuddin Ansari is a Cheater He used a lot of Apps and He cheated lot of people Please Block his all Bank Accounts 

I invest  rupees present he told to me i donot know this money I sent to Another person like this type of re",high,2026-01-14 11:00:27.325136
T1497,C1159,Online Financial Fraud,UPI Related Frauds,226167.42,4,Emulator,Foreign,1,0.05,0.9,1,1,20,ONLINE FRAUD,high,2026-05-04 00:07:27.325136
T1498,C1077,Online Financial Fraud,Internet Banking Related Fraud,14057.14,7,iPhone15,Hyderabad,11,0.33,0.18,0,0,7,"his mobile no  He rang up from HDFC BANK SASTRI NAGAR BR
chennai fraud on Line
he tried to open my Online banking
he asked for my ATM PIN AND ALSO OTP WHICH He generated  for online bank password",low,2026-02-20 14:51:27.325136
T1499,C1173,Online Financial Fraud,UPI Related Frauds,147706.94,4,Unknown_Device,Foreign,0,0.02,0.94,1,1,29,Financial Fraud,high,2026-01-21 08:01:27.325136
T1500,C1024,Online Financial Fraud,UPI Related Frauds,20380.67,18,VivoX100,Hyderabad,8,0.61,0.09,0,0,31,I happened to take a loan from an application called koko cash they have granted me a loan of  and asked me to pay  in  days I have already paid them they are now threatening me of misusing my pan card aadhar card and pics and contacts of my phone th,low,2026-04-18 15:02:27.325136
T1501,C1174,Online Financial Fraud,UPI Related Frauds,67214.87,6,VivoX100,Hyderabad,14,0.43,0.13,0,0,23,"Impersonation  Cheating  as a army person
as victim have  goods carrier transport  he got a call saying  that they are calling from millitary person and should delivery the some products so victim was asked to come near airport so he went there  and",low,2026-04-18 07:03:27.325136
T1502,C1194,Online Financial Fraud,Fraud CallVishing,7868.12,17,Samsung_S24,Mumbai,20,0.65,0.12,0,0,22,"Getting calls from number like


 etc 
always starting with  

They are saying some random person has taken a loan and given your number as reference I explained I dont know the person Still kept on calling I blocked most numbers They have call",low,2026-01-26 22:49:27.325136
T1503,C1026,Any Other Cyber Crime,Other,435054.6,1,Unknown_Device,Foreign,0,0.06,0.84,1,1,38,On nd November  I went to           to withdraw Rs  Due to electricity failure I did not receive the cash but soon thereafter I received a message from Sarva Haryana Gramin Bank that the said amount got debited from my bank account I lodged an online,high,2026-01-15 04:01:27.325136
T1504,C1154,Online and Social Media Related Crime,Cyber Bullying  Stalking  Sexting,22368.61,17,Pixel8,Bangalore,18,0.29,0.05,1,0,26,A person called Neha Patel contacted me on facebook She was already in my facebook friend list On Sunday she offered a video call and asked for my WhatsApp number She video called on WhatsApp and immediately started showing her private parts I went a,low,2026-03-06 17:11:27.325136
T1505,C1189,Online and Social Media Related Crime,Provocative Speech for unlawful acts,66000.54,20,VivoX100,Delhi,12,0.33,0.19,0,0,8,Sir from an app i got this girl no And started message to her and she suddenly made video call and showing her pvt part and also said me to show my part also and i could not understood her actual tendency and showed my toosuddenly after that she reco,low,2026-05-14 09:50:27.325136
T1506,C1199,RapeGang Rape RGRSexually Abusive Content,,5828.95,19,Samsung_S24,Bangalore,22,0.49,0.14,0,0,39,Some one is sending me unknow persone this message on whatsup and its very dishturbing so i thoght to report it online So i request you please take apropriate action on this i think its bank recovery persons who doing harashment to some one like this,low,2026-03-14 21:54:27.325136
T1507,C1187,Online Financial Fraud,UPI Related Frauds,402926.87,2,Emulator,Foreign,4,0.11,0.7,1,1,25,I received a call on  Feb  from mobile no  and he sent an otp to my mobile number and asked me to forward that otp to  mobile number and I forwarded that otp and after sometime money was debited from my account,high,2026-04-23 22:25:27.325136
T1508,C1051,Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,40403.17,14,iPhone15,Mumbai,18,0.15,0.19,1,0,27,"Identity theft   Smishing SMS Fraud  CreditDebit Cards Fraud  PAN Card Linkage
victim got a message regarding update the PAN card victim open that link and update the pan card details and OTP also and lost the money ",low,2026-05-06 06:29:27.325136
T1509,C1081,Sexually Explicit Act,,22997.96,23,OnePlus12,Hyderabad,11,0.59,0.04,1,0,35,"


Getting morphed
and taken from Facebook and blackmail Send friend request on facebook asking for work opportunity taking mobile numbers and images from Facebook anf the calling and blackmailing on whats app",low,2026-03-22 12:48:27.325136
T1510,C1123,Online Financial Fraud,Internet Banking Related Fraud,5216.12,20,OnePlus12,Bangalore,11,0.32,0.05,0,0,38,"Identity theft   Smishing SMS Fraud  CreditDebit Cards Fraud  KYC updation
victim got message to update KYC and victim clicked on the link and entered the internet banking credentials and OTPs and lost the amount ",low,2026-05-25 16:00:27.325136
T1511,C1146,Online and Social Media Related Crime,FakeImpersonating Profile,30265.85,18,VivoX100,Mumbai,16,0.29,0.03,0,0,12,This guy runs an YouTube channel rihan killer live and scams people of selling bgmi uc His offers are  super chat  uc top up He scammed so many people The issue is not about the money i got scammed but many people are getting prey into his scam Pleas,low,2026-02-22 04:43:27.325136
T1512,C1023,Online Financial Fraud,UPI Related Frauds,536931.16,2,Unknown_Device,Foreign,4,0.14,0.98,1,1,22,company New mobile media ne kuchh online plans offers kiye the ki money invest karo  daily income pao  for example  invest karo  daily pao but jaise hi maine paise invest kiye uske  din badd compani ne benifit dena band kar diya aur  din baad to goog,high,2026-04-07 05:24:27.325136
T1513,C1016,Any Other Cyber Crime,Other,61707.28,20,iPhone15,Pune,18,0.62,0.12,0,0,29,I am Mithun Kumar Sethifrom odisha DistGanjamDate  dec  call Vishal Sharma for engineering carrier solution company as a job consultancy company  say your company hayer civil site engineer and quality control engineer in Bhubaneswar Odisha  I pay  Ru,low,2026-02-04 16:33:27.325136
T1514,C1192,Any Other Cyber Crime,Other,37171.21,14,Samsung_S24,Delhi,13,0.26,0.09,0,0,7,My name is Rahul Kumar Kashyap  my contact number is  On the th of January I got a message at  pm IST that is my contact number is added as a reference in Galaxy Card which is an online credit card company Actually I do not know this company nor do I,low,2026-05-25 15:34:27.325136
T1515,C1109,Online Financial Fraud,UPI Related Frauds,22914.7,15,iPhone15,Pune,12,0.35,0.08,0,0,12,"Some one hacked my friend Facebook account and request some money 
I believed him and send the money through phone pe later my friend called me informed about his Facebook account hacked 
Later I realised and inform you people",low,2026-04-08 10:29:27.325136
T1516,C1030,Any Other Cyber Crime,Other,15110.87,14,Pixel8,Pune,21,0.42,0.12,0,0,37,Dear SirMadam My name is Sayyed Noman Niyamtulla    I wanted to get an iphone  via olx for which i messaged on whatsapp to get the phone details whatsapp chatting details attached But when the deal was finalized for cash on delivery I opened the parc,low,2026-04-04 01:45:27.325136
T1517,C1173,Online Financial Fraud,UPI Related Frauds,145006.42,0,Emulator,Foreign,3,0.11,0.88,1,1,29,I had got a call from unknown mobile no which is  Fraudaster told me to reedem a particular voucher on phonepe application app through phonepe notification iconOnce i tried to reedemed that particular vouchermy money was debited from my account into ,high,2026-03-05 17:02:27.325136
T1518,C1170,Online Financial Fraud,Internet Banking Related Fraud,25315.87,22,OnePlus12,Delhi,20,0.21,0.09,0,0,17,At  PM th Jan  i received a text message that my HDFC account will be blocked if i dont provide my PAN details I was occupied and in a hurry clicked on the link and shared the details along with OTP and  was deducted Post that i called HDFC customer ,low,2026-03-17 02:55:27.325136
T1519,C1053,Any Other Cyber Crime,Other,505690.86,0,Unknown_Device,Foreign,0,0.13,0.71,1,1,15,I had bought a credit card of Slice company That is not activated right now but a phone call received from mob no  that i have made a transaction an amount of K so you have to pay or report an FIR and send me a copy  and i have not received any type ,high,2026-04-01 22:58:27.325136
T1520,C1011,Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,277095.46,3,Emulator,Foreign,1,0.08,0.91,1,1,34,"FRAUD THROUGH DEBIT CARD
BANKState Bank of India
ACCOUNT NUMBER
TOTAL AMOUNT 
PLEASE HOLD  REVERSE TOTAL AMOUNT IN THE COMPLAINT ACCOUNT AND TAKE NECESSARY ACTION AS SOON AS POSSIBLE THANKYOU",high,2026-04-26 13:27:27.325136
T1521,C1022,Online Financial Fraud,UPI Related Frauds,32990.53,9,iPhone15,Kolkata,9,0.54,0.09,0,0,38,"FRAUD THROUGH   UPI FRAUD BHIM UPI
BANK  ICICI BANK
ACCOUNT NUMBER  
TOTAL AMOUNT  
PLEASE HOLD REVERSE TOTAL AMOUNT IN THE COMPLAINT ACCOUNT AND TAKE NECESSARY ACTION 
THERE IS AN ISSUE ABOUT FRAUD THE CONSERNING PERSON NAME IS SHIV BABU HE IS ",low,2026-05-01 02:26:27.325136
T1522,C1180,Online Financial Fraud,UPI Related Frauds,88665.37,4,Emulator,Foreign,2,0.09,0.78,1,1,16,Actually it is lottery issue i thought it is real lottery first people told me you will get lakh and they people took nake of rana pratap singh i toght its not fake one so i started their process first they aasked  me  i paid them full amt later on t,high,2026-04-19 08:19:27.325136
T1523,C1115,Hacking  Damage to computercomputer system etc,Unauthorised AccessData Breach,7665.27,16,OnePlus12,Chennai,19,0.36,0.12,1,0,10,"I have a taken a instant loan already paid but still Harrasing my relatives and family members and sending my pancard and aadhar card sex pics to all pf my family members the recovery agent abousing a words 

Company name is rupee pro and cashbean ",low,2026-01-31 03:41:27.325136
T1524,C1190,Sexually Obscene material,,3118.72,16,iPhone15,Bangalore,12,0.55,0.12,0,0,37,I am getting messages from unknown numbers in whatsapp from yesterday I blocked all the numbers and reported as spam to whatsapp Today the above mentioned whatsapp number has my picture as Profile picture That picture was not shared in any social med,low,2026-05-19 07:45:27.325136
T1525,C1150,Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,32705.51,14,VivoX100,Delhi,12,0.42,0.1,1,0,36,"Citizen details
Nameankur kumar  pskhushkhera  distalwar  pincode
Email idankurkumargmailcom
Mob no
Credit card no    Sbi simply save  
Fraud by credit card 
Fraud date

Transaction Details

 Rs      pm 

Total amountRs

Frauder Mob no ",low,2026-03-01 11:20:27.325136
T1526,C1085,Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,10335.51,16,OnePlus12,Kolkata,14,0.56,0.07,0,0,16,"citizen detail 
name  savita upadhya
add  gappur bhatta  jaislmer 
mob    
email savitaupadhayayjsmgmailcom
dist jaislmer 
pin code 
ps kotwali
froud by  credit card          
citizen bank detail 
ac no   sbi   IFSC SBIN
credit card no    ",low,2026-03-22 02:41:27.325136
T1527,C1184,Sexually Obscene material,,56230.67,17,VivoX100,Kolkata,13,0.4,0.16,0,0,25,"I have a video of you wanking on the left screen and on the right screen  the video you were watching while masturbating
Wondering how bad could this get With just a single click of my mouse this video can be sent to all your social networks and ema",low,2026-05-02 10:34:27.325136
T1528,C1199,Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,128402.38,2,Unknown_Device,Foreign,2,0.09,0.71,1,1,39,Anydesk app fraud,high,2026-02-12 03:14:27.325136
T1529,C1137,Online Financial Fraud,Internet Banking Related Fraud,33204.16,18,Samsung_S24,Delhi,8,0.5,0.15,0,0,0,"Victim searched Delhivery courier customer care number onlinevictim got fake customer care numbersuspect sent the linkamount deceived
Suspect noamount debited from victims HDFC bank account",low,2026-01-22 00:58:27.325136
T1530,C1002,Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,56771.25,22,Pixel8,Bangalore,17,0.31,0.14,1,0,27,I find helpline number from Google then I call on that number Executive suggest me to download an application after that he use my debit and credit card and withdraw money He withdraw money to Paytm razerpay and other apps also he did online shopping,low,2026-04-14 14:58:27.325136
T1531,C1056,Online Financial Fraud,Fraud CallVishing,50929.15,15,Samsung_S24,Hyderabad,14,0.45,0.12,0,0,6,Sir I was looking for goods transporter from nagpur to jaipur on Just Dial as per their services I got a call from this man that he is from supreme transport company He said he will deliver the goods and that I have to give advance freight payment of,low,2026-04-22 12:55:27.325136
T1532,C1011,Online Cyber Trafficking,Online Trafficking,36690.64,11,iPhone15,Delhi,14,0.38,0.09,0,0,34,They are irritating me like if you did not pay the loan before due time they should send my picture to all my contacts like he is a fraud but i did not take any loan from their app They are irritating me please help me,low,2026-03-07 21:14:27.325136
T1533,C1035,Online Financial Fraud,UPI Related Frauds,11006.3,13,VivoX100,Hyderabad,13,0.6,0.11,0,0,0,I received a call from number  he acted like he is a friend of mine and said that his upi account is maxed and he has to receive a payment so can he send on my UPI After which a typical message which said  receive  in its name but had a pay button sh,low,2026-02-03 23:16:27.325136
T1534,C1070,Online Financial Fraud,Fraud CallVishing,8975.72,21,Pixel8,Mumbai,23,0.3,0.19,0,0,14,"I got a call from a person  or one of my add he said he ia interested and paing token money And he is army officer
And he want me to share my account details 
As i was aware i have not shared details I have not shared details",low,2026-03-05 10:22:27.325136
T1535,C1065,Online Financial Fraud,EWallet Related Fraud,23889.35,9,iPhone15,Hyderabad,19,0.22,0.05,0,0,37,i got one friend request which was looking same as my known friend So i was accept the friend request and that person asking for money to me I did send the money on the basis of he actual friend once i have transfer the money that person blocked me o,low,2026-01-13 06:46:27.325136
T1536,C1023,Online Financial Fraud,UPI Related Frauds,24508.29,14,iPhone15,Hyderabad,13,0.39,0.08,0,0,22,that person name is mayank agarwal he send to me QR codei scanned that QR code in paytm  my account amount debited again he said you maintain the baalce in ur account but i have no cash in my account all evidence attached in this file     he is askin,low,2026-03-22 11:32:27.325136
T1537,C1048,Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,601344.19,4,Emulator,Foreign,1,0.03,0.89,1,1,32,Amount deducted through credit card number    ,high,2026-02-04 12:39:27.325136
T1538,C1076,Online Financial Fraud,UPI Related Frauds,13439.77,17,Samsung_S24,Hyderabad,13,0.27,0.19,1,0,28,"Above  money transfer from  this SBI Account to  UPI DR   HDFC  Kuldi

I found this is fraud 
This about money is debited from my account but other side is not reply
They told me i have not recived the above money
I have done this transaction by",low,2026-05-21 11:13:27.325136
T1539,C1161,Online Financial Fraud,UPI Related Frauds,43365.49,19,OnePlus12,Kolkata,17,0.57,0.03,0,0,6,"
Dear Sir
Please stop the fraudulent transaction and refund it to victim account
Regards",low,2026-03-23 20:54:27.325136
T1540,C1186,Online Financial Fraud,UPI Related Frauds,87958.76,15,VivoX100,Chennai,20,0.54,0.06,0,0,10,I saw the ad and applied for the loan by downloading the play store fast rupee and entering aadharpan and personal details They promise  days loan term but do not give any loans And after allowing app permission copy all the phone data After  days I ,low,2026-03-01 01:27:27.325136
T1541,C1090,Online Financial Fraud,UPI Related Frauds,7579.13,21,Samsung_S24,Hyderabad,10,0.34,0.05,0,0,9,Mere pasm call aaya ki m aapki mosi ka ladka bol raha hu m kuch paise aapko phonepay kar raha hu jab m gaon aaunga to aap mujhe cash nikal kar de dena fir usne ek link bheji or mujhse bola ki apna balance chaek karo apna pasword dalkar fir maine dekh,low,2026-03-19 19:47:27.325136
T1542,C1190,Online and Social Media Related Crime,Cyber Bullying  Stalking  Sexting,2178.95,16,iPhone15,Bangalore,13,0.52,0.05,0,0,37,Vedio call aya is number se Or sexting ki bt krne lge And they recorded the vedio call and then blackmailing me For moneyfirst of all a request is come in Facebook and some talk She talk about sex and all Firstly i doubt that ki koi majak kr rha h Th,low,2026-04-13 15:35:27.325136
T1543,C1112,Online and Social Media Related Crime,Cheating by Impersonation,18678.6,22,Pixel8,Hyderabad,11,0.58,0.14,1,0,23,No requirement loan but transfer rs my account and very high interest rates charges mere ko paresan kar rahe hai nahi to Tera naam badnaam kar dengeapp name ag loan app haiaur gali galoch Kar rahe hai nahi to Tera naam badnaam kar denge,low,2026-04-30 13:48:27.325136
T1544,C1065,Any Other Cyber Crime,Other,30184.56,8,iPhone15,Hyderabad,15,0.19,0.02,0,0,37,Some one transferred the amount For the registered phone number no smart phone is connected and no online account are available Some one created them and took the money After going to bank only ive found that amount is deducted,low,2026-01-22 16:59:27.325136
T1545,C1110,Sexually Explicit Act,,41043.55,9,iPhone15,Hyderabad,13,0.28,0.11,0,0,5,"Business id number 
Done video call and then tried to manipulate by doing video call and then screen recording it and using it to blackmail by sending it to every friend list
When I told that I will raise a complain against it she unsend all those",low,2026-01-29 19:05:27.325136
T1546,C1084,Hacking  Damage to computercomputer system etc,Unauthorised AccessData Breach,34089.56,15,OnePlus12,Kolkata,12,0.21,0.04,0,0,37,On th Feb  I was in need of money to pay my next mei due of  Feb   I downloaded two apps which I was not aware about the fake things after download I just wanted to check the eligibility so they ask aadhar card and pancard photo with my selfie then i,low,2026-03-31 06:31:27.325136
T1547,C1032,Cyber Terrorism,Cyber Terrorism,7095.42,13,VivoX100,Delhi,18,0.51,0.13,0,0,15,Scammers Party    Mr Kuldeep Kumar or Ranjit Singh Talent Acquisition disguise me by saying they want to offer me a CTO Chief Technical Officer with YABX Comviva Gurgaon job for which they need my personal information It was done through phone number,low,2026-01-24 07:29:27.325136
T1548,C1010,Cyber Attack/ Dependent Crimes,Data Breach/Theft,17814.77,19,Samsung_S24,Bangalore,8,0.29,0.04,1,0,19,"My friend mentioned something like this happened to them a few months ago, but I thought it was a one-off. Then, suddenly, I got this weird notification asking me to update my password, but the message didn’t look like the usual ones I receive from t",low,2026-02-26 10:49:27.325136
T1549,C1111,Online Financial Fraud,UPI Related Frauds,371034.31,2,Unknown_Device,Foreign,4,0.09,0.98,1,1,6,"FRAUD THROUGH  GOOGLE PAY 
BANK  INDIAN BANK  FRAUD THROUGH FACEBOOK MESSANGER CALLING FROM WHATSAPP AND TAKEN MY VIDEOS  IMAGES AND BLACKMAIL ME ASKING MONEY AND SAYING SHEHE WILL POST MY VIDEOS  IMAGES ON SOCIAL MEDIA


ACCOUNT NUMBER

TOTAL ",high,2026-04-12 04:07:27.325136
T1550,C1067,Online Financial Fraud,UPI Related Frauds,66176.28,22,Samsung_S24,Pune,16,0.54,0.01,0,0,7,Aalbdeatail provid whats up number utr  upi id etsir this fraud happen plz action on this nnnnnnnnnnnnnnnnnnnnnnnnnggggggggggggggggggggghhhhhhhhhhhhhhhhhhbvvvvvvvvvvvvvggggggggggggggggggggggggggggggggggg,low,2026-01-25 16:18:27.325136
T1551,C1168,Online Cyber Trafficking,Online Trafficking,203820.85,0,Unknown_Device,Foreign,0,0.04,0.66,1,1,4,Rs debitedSBI UPI frm AcX on Feb RefNo  Rs debitedSBI UPI frm AcX on Feb RefNo Rs debitedSBI UPI frm AcX on Feb RefNo Rs debitedSBI UPI frm AcX on Feb RefNo ,high,2026-03-22 04:01:27.325136
T1552,C1037,Online Financial Fraud,Internet Banking Related Fraud,64140.73,7,iPhone15,Kolkata,15,0.53,0.08,0,0,0,sir I was lose of amount of  in account holder of  because the account holder of call in my no and she was helping to my work and pay amount of and I pay and she was not answer ing and return not in my amount so please you help and return my amount p,low,2026-03-02 03:10:27.325136
T1553,C1180,Online and Social Media Related Crime,Online Job Fraud,3906.96,8,Samsung_S24,Kolkata,16,0.28,0.07,0,0,16,He was selling mobiles cheaply online I liked and ordered a mobile Then he told me to send the money Yesterday  pm at  exactly I sent him the money Then after sending the money he disabled my us number   This is FRUAD numberI sent a total of  rupeesS,low,2026-03-11 04:52:27.325136
T1554,C1065,Online Financial Fraud,Internet Banking Related Fraud,34339.14,5,iPhone15,Hyderabad,15,0.23,0.06,0,0,37,I got a message from accused to update my PAN card will be blocked  After that i blocked that message  Then in the evening by PMi got message from SBI that Rs debited to his account and Rs was debited towards flipkart payments  Immediately i called c,low,2026-01-28 06:58:27.325136
T1555,C1037,Online and Social Media Related Crime,Cheating by Impersonation,54749.05,7,iPhone15,Kolkata,12,0.57,0.05,1,0,0,A lady as Kate Haris from california requested me on instagram as a financial investor  after talking for  minutes she asked me to pay some money which she will invest somewhere  will get back to me in  days with  profit Then she asked my name email ,low,2026-02-19 22:16:27.325136
T1556,C1097,Online Financial Fraud,UPI Related Frauds,48550.89,20,Samsung_S24,Bangalore,14,0.39,0.19,0,0,19,Complainant sent money for loan purpose,low,2026-05-08 02:37:27.325136
T1557,C1088,Any Other Cyber Crime,Other,249645.41,0,Unknown_Device,Foreign,2,0.03,0.84,1,1,23,"My bank account is in au small finance bank it is freezed dont know how but i want to unfreeze the account the bank officers said that some fraud transactions are occurred thats why cybercrime department is freezed my account
I dont know what the ex",high,2026-01-23 13:39:27.325136
T1558,C1000,Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,1490.81,17,Pixel8,Hyderabad,11,0.37,0.16,0,0,16,I called to ICICI customer care to get information about my account closer but because of my negligence i got fraud and a amount of  is deducted from my credit card I raised dispute with bank with No SR,low,2026-02-19 23:21:27.325136
T1559,C1087,Online Financial Fraud,UPI Related Frauds,5923.32,9,OnePlus12,Delhi,9,0.53,0.17,0,0,23,"FRAUD THROUGH  UPI PHONE PE 

BANK   PUNJAB NATIONAL BANK 



ACCOUNT NUMBER   
TOTAL AMOUNT 

PLEASE HOLD REVERSE TOTAL AMOUNT IN THE 
COMPLAINT  ACCOUNT AND TAKE NECESSARY ACTION




",low,2026-02-02 19:27:27.325136
T1560,C1141,Online Financial Fraud,UPI Related Frauds,243777.45,1,Emulator,Foreign,0,0.05,0.91,1,1,8,"FRAUD THROUGH GOOGLE PAY UPI
BANK STATE BANK OF INDIA 
ACCOUNT NUMBER 
TOTAL 

PLEASE HOLDREVERSE TOTAL AMOUNT IN THE COMPLAINT ACCOUNT AND TAKE NECESSARY ACTION",high,2026-03-08 13:07:27.325136
T1561,C1047,Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,35708.42,17,iPhone15,Mumbai,21,0.16,0.01,1,0,30,"The incident took place on nd Jan  My wife was not aware of this incident While trying to get some cash on th Jan  from the ATM she gets the message INSUFFICIENT BALANCE which was a shock for her 
Then she checked the balance and found out that ther",low,2026-02-19 13:09:27.325136
T1562,C1189,Online Financial Fraud,UPI Related Frauds,78482.74,20,VivoX100,Delhi,10,0.39,0.05,1,0,8,The url of website is making froud money throgh UPI payments of any third party  they say to frist i will return your money after completing your task but they can not return and the url have not any such ki d of custmer care number onoy haved upi  T,low,2026-05-06 14:35:27.325136
T1563,C1103,Online Financial Fraud,UPI Related Frauds,13910.99,13,VivoX100,Chennai,20,0.18,0.14,1,0,24,"Online Frauds   Lottery Fraud  Any Other
phone pe scartch card victim got a scartch card to his mobile so later on he entered th eupi pin amount was debited from victim account",low,2026-02-04 19:42:27.325136
T1564,C1183,Online Financial Fraud,UPI Related Frauds,34390.7,23,OnePlus12,Pune,16,0.28,0.16,0,0,30,"Cyber Stalking   Social Media  Instagram
Victim ki Instagram  nundi friend request vachhinadi victim Accept the request after that suspect call to the victim recorder the neaud video victim send the amount hence victim loss his amount ",low,2026-05-23 22:10:27.325136
T1565,C1011,Online Financial Fraud,Fraud CallVishing,329244.3,3,Unknown_Device,Foreign,4,0.14,0.79,1,1,34,sir i did not take any kind of loan But Some how I got this msg two times in my whatsapp number they call me many times by different numbers they told me that they msg my all contacts and all like im fraudsir please help me i did not take any kind of,high,2026-04-09 15:07:27.325136
T1566,C1045,Online Financial Fraud,EWallet Related Fraud,7802.35,23,Pixel8,Pune,13,0.47,0.18,0,0,32,"name birender singh yadav so omparkesh yadav 
Email  raoahirgmailcom
dist  alwar 
ps mundawar
pin coad 
Add gav padmara khurd teh mundawar ward no
phon pay no  
bank  KOTAK MAHINDRA BANK  
Ac no   ifsc codeKKBK  
summry  suchna karta bta rha",low,2026-01-13 06:49:27.325136
T1567,C1096,Any Other Cyber Crime,Other,22829.5,11,VivoX100,Kolkata,15,0.43,0.16,1,0,23,Sir maine koi lone nahi liyea hai inse fir ye mujhe baar baar sirf WhatsApp app PE massage kar rahe hai aur disturb kar rahe hai ye logo ka kehna hai ki maine inse lone liyea hai par maine koi loge nahi liyea kise se bhi ek se liyea tha use due date ,low,2026-01-31 19:47:27.325136
T1568,C1151,Online Financial Fraud,UPI Related Frauds,73757.73,12,Samsung_S24,Mumbai,15,0.38,0.15,0,0,17,Fraud through OLX Complainant scan a QR code then  Rs deduct her mother  account Total amount Rs  deduct from google pay which is attached with Indian Bank account number is   Account holder name is Monika Arora Wo Harish Arora,low,2026-01-27 09:22:27.325136
T1569,C1112,Any Other Cyber Crime,Other,11066.62,22,Pixel8,Hyderabad,11,0.59,0.16,0,0,23,                                                                                                          ,low,2026-03-05 01:43:27.325136
T1570,C1137,Online Financial Fraud,EWallet Related Fraud,25310.71,19,Samsung_S24,Delhi,10,0.53,0.06,0,0,0,"         
We A Company Shop No pvt  KH No      Ground floor Inderparsth colony Street  Blkc Burari Delhi                         
                    
   
                        
       

   HANUMAN",low,2026-05-22 10:35:27.325136
T1571,C1138,Child Pornography CPChild Sexual Abuse Material CSAM,,46717.04,8,Pixel8,Kolkata,18,0.32,0.05,0,0,39,We got many times treight from this number as well as they have abused us so many times And they are blackmailing to us So please take the action against then and arrested them its my humble request Sir,low,2026-02-15 13:05:27.325136
T1572,C1046,Online Financial Fraud,Internet Banking Related Fraud,51171.25,21,OnePlus12,Pune,22,0.47,0.16,0,0,9,"Myself transffered amount  Rs for helicopter service at vaishnavdevi temple  But after transfer to account of Himalayan Heli services I did got ticket as well as i didnt got refund Now Himalayan services not answering my calls

Name of company  Him",low,2026-02-16 00:58:27.325136
